Algorithm,MatrixSize,Rows,Cols,ExecutionTimeMs
Sequential,10000,100,100,0.026
Parallel (2 threads),10000,100,100,0.630
Parallel (4 threads),10000,100,100,0.117
Parallel (8 threads),10000,100,100,0.027
Parallel (8 threads),10000,100,100,0.027
Sequential,40000,200,200,0.099
Parallel (2 threads),40000,200,200,0.737
Parallel (4 threads),40000,200,200,0.088
Parallel (8 threads),40000,200,200,0.085
Parallel (8 threads),40000,200,200,0.079
Sequential,250000,500,500,0.780
Parallel (2 threads),250000,500,500,0.881
Parallel (4 threads),250000,500,500,0.569
Parallel (8 threads),250000,500,500,0.701
Parallel (8 threads),250000,500,500,0.789
Sequential,1000000,1000,1000,3.739
Parallel (2 threads),1000000,1000,1000,2.497
Parallel (4 threads),1000000,1000,1000,1.984
Parallel (8 threads),1000000,1000,1000,2.200
Parallel (8 threads),1000000,1000,1000,2.758
Sequential,4000000,2000,2000,20.348
Parallel (2 threads),4000000,2000,2000,7.322
Parallel (4 threads),4000000,2000,2000,9.502
Parallel (8 threads),4000000,2000,2000,7.295
Parallel (8 threads),4000000,2000,2000,8.652
Sequential,25000000,5000,5000,201.689
Parallel (2 threads),25000000,5000,5000,53.360
Parallel (4 threads),25000000,5000,5000,68.379
Parallel (8 threads),25000000,5000,5000,74.239
Parallel (8 threads),25000000,5000,5000,67.662
Sequential,100000,1000,100,0.223
Parallel (2 threads),100000,1000,100,0.184
Parallel (4 threads),100000,1000,100,0.233
Parallel (8 threads),100000,1000,100,0.292
Parallel (8 threads),100000,1000,100,0.186
Sequential,100000,100,1000,0.286
Parallel (2 threads),100000,100,1000,0.416
Parallel (4 threads),100000,100,1000,0.233
Parallel (8 threads),100000,100,1000,0.184
Parallel (8 threads),100000,100,1000,0.181
Sequential,50000,5000,10,0.107
Parallel (2 threads),50000,5000,10,0.125
Parallel (4 threads),50000,5000,10,0.103
Parallel (8 threads),50000,5000,10,0.167
Parallel (8 threads),50000,5000,10,0.095
Sequential,50000,10,5000,0.279
Parallel (2 threads),50000,10,5000,0.097
Parallel (4 threads),50000,10,5000,0.104
Parallel (8 threads),50000,10,5000,0.101
Parallel (8 threads),50000,10,5000,0.140
